MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,TotalPorchSF,FinishedBsmtSF,FinishedBsmtRatio,Basement_to_TotalArea,Garage_to_LivingArea,YearsSinceRemodel,GarageAge,HasSecondFloor,HasBasement,HasGarage,HasFireplace,HasPool,HasPorch,IsRemodeled,Quality_x_Area,Quality_x_Condition,Baths_x_Bedrooms,GarageCars_x_Area,OverallQual_Squared
20,RL,69.0,12968,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,175,912,TA,Y,SBrkr,912,0,912,1,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,9,WD,Normal,144000,1824,2.0,176,737,0.8081140350877193,0.5,0.38596491228070173,46,46,0,1,1,0,0,1,0,4560,30,4.0,912,25
20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,Ex,Y,SBrkr,1494,0,1494,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,8,New,Partial,279500,2988,2.0,33,0,0.0,0.5,0.5622489959839357,0,1,0,1,1,1,0,1,1,10458,35,6.0,4482,49
20,RL,69.0,10920,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,520,1253,TA,Y,SBrkr,1253,0,1253,1,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,5,WD,Normal,157000,2506,2.5,389,733,0.5849960095770151,0.5,0.28092577813248204,48,48,0,1,1,1,0,1,0,7518,30,5.0,1253,36
45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,Ex,Y,FuseA,854,0,854,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,7,WD,Normal,132000,1686,1.0,112,0,0.0,0.49347568208778175,0.6744730679156908,6,16,0,1,1,0,0,1,1,5978,56,2.0,1708,49
20,RL,69.0,11241,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,426,1004,Ex,Y,SBrkr,1004,0,1004,1,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,3,WD,Normal,149000,2008,2.0,0,578,0.5756972111553785,0.5,0.47808764940239046,40,40,0,1,1,1,0,0,0,6024,42,4.0,2008,36
90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,0.0,TA,TA,Slab,,,,,0,,0,0,TA,Y,SBrkr,1296,0,1296,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,10,WD,Normal,90000,1296,2.0,0,0,0.0,0.0,0.39814814814814814,39,39,0,0,1,0,0,0,0,5184,20,4.0,2592,16
20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,Ex,Y,SBrkr,1114,0,1114,1,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,6,WD,Normal,159000,2228,2.5,102,646,0.5798922800718133,0.5,0.5170556552962298,4,4,0,1,1,0,0,1,0,5570,25,7.5,2228,25
20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,TA,Y,SBrkr,1339,0,1339,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,5,COD,Abnorml,139000,2368,1.0,0,504,0.4897959183673469,0.4345439189189189,0.21956684092606424,44,51,0,1,1,0,0,0,1,6695,30,3.0,1339,25
60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,Ex,Y,SBrkr,1158,1218,2376,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,11,New,Partial,325300,3534,3.5,154,0,0.0,0.32767402376910015,0.359006734006734,0,1,1,1,1,1,0,1,1,19008,40,14.0,7128,64
45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,Ex,Y,FuseF,1108,0,1108,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,6,WD,Normal,139400,1745,1.0,205,0,0.0,0.3650429799426934,0.2527075812274368,57,77,0,1,1,1,0,1,1,7756,49,3.0,1108,49
20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,Ex,Y,SBrkr,1795,0,1795,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,9,WD,Normal,230000,3572,2.0,159,0,0.0,0.4974804031354983,0.29749303621169915,6,6,0,1,1,1,0,1,0,14360,40,6.0,3590,64
120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,TA,Y,SBrkr,1060,0,1060,1,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,6,WD,Normal,129900,2100,2.0,110,840,0.8076923076923077,0.49523809523809526,0.539622641509434,31,31,0,1,1,1,0,1,0,5300,35,6.0,2120,25
20,RL,69.0,8246,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,204,1060,Ex,Y,SBrkr,1060,0,1060,1,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,5,WD,Normal,154000,2120,2.0,90,856,0.8075471698113208,0.5,0.25471698113207547,9,42,0,1,1,1,0,1,1,5300,40,6.0,1060,25
20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,7,WD,Normal,256300,3166,2.0,56,0,0.0,0.49463044851547694,0.55625,2,2,0,1,1,1,0,1,0,12800,40,6.0,4800,64
20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,180,900,TA,Y,SBrkr,900,0,900,0,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,5,WD,Normal,134800,1800,1.5,32,720,0.8,0.5,0.64,10,5,0,1,1,0,0,1,1,4500,35,4.5,1800,25
20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,Ex,Y,SBrkr,1704,0,1704,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,5,WD,Normal,306000,3408,3.0,50,1218,0.7147887323943662,0.5,0.45305164319248825,2,2,0,1,1,1,0,1,1,13632,40,9.0,5112,64
20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,TA,Y,SBrkr,1600,0,1600,1,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,12,WD,Normal,207500,3084,2.0,258,1277,0.860512129380054,0.48119325551232167,0.199375,9,49,0,1,1,1,0,1,1,8000,30,4.0,1600,25
30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,Fa,N,SBrkr,520,0,520,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,5,WD,Normal,68500,1040,1.0,87,0,0.0,0.5,0.46153846153846156,58,88,0,1,1,0,0,1,1,2080,24,1.0,520,16
70,C (all),50.0,8500,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,TA,N,SBrkr,649,668,1317,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,7,WD,Normal,40000,1966,1.0,226,0,0.0,0.3301119023397762,0.18982536066818528,58,88,1,1,1,0,0,1,1,5268,16,3.0,1317,16
20,RL,69.0,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,1228,Gd,Y,SBrkr,1228,0,1228,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,6,WD,Normal,149350,2456,1.5,65,0,0.0,0.5,0.22068403908794787,2,42,0,1,1,0,0,1,1,6140,30,4.5,1228,25
20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,Ex,Y,SBrkr,1234,0,1234,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,1,WD,Normal,179900,2468,2.0,30,0,0.0,0.5,0.39222042139384117,1,1,0,1,1,0,0,1,0,9872,40,6.0,2468,64
20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,4,WD,Normal,165500,3098,2.0,38,1018,0.7281831187410587,0.4512588766946417,0.26294117647058823,51,51,0,1,1,1,0,1,0,8500,25,8.0,3400,25
120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,Ex,Y,SBrkr,1561,0,1561,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,8,WD,Normal,277500,3122,3.0,47,1153,0.7386290839205637,0.5,0.356181934657271,2,2,0,1,1,1,0,1,0,14049,45,6.0,3122,81
60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,Ex,Y,SBrkr,1132,1320,2452,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,9,WD,Normal,309000,3569,3.5,32,0,0.0,0.31297282151863265,0.28181076672104405,1,2,1,1,1,1,0,1,1,19616,40,14.0,7356,64
20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,Ex,Y,SBrkr,1097,0,1097,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,6,WD,Normal,145000,2194,1.5,64,0,0.0,0.5,0.6125797629899726,14,14,0,1,1,0,0,1,1,5485,25,4.5,2194,25
20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,Gd,Y,SBrkr,1297,0,1297,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,10,WD,Normal,153000,2594,1.5,0,1213,0.9352351580570547,0.5,0.38396299151888974,19,55,0,1,1,1,0,0,1,6485,30,4.5,2594,25
20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,TA,Y,SBrkr,1057,0,1057,1,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,1,WD,Abnorml,109000,2114,2.0,52,731,0.6915799432355724,0.5,0.23273415326395458,3,57,0,1,1,0,0,1,1,5285,35,6.0,1057,25
90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,0.0,TA,TA,PConc,,,,,0,,0,0,TA,N,FuseP,1152,0,1152,0,2,0,2,2,Fa,6,Typ,0,,,1980.0,,0,0,,,N,0,0,0,0,0,6,WD,AdjLand,82000,1152,2.0,0,0,0.0,0.0,0.0,53,28,0,0,0,0,0,0,0,4608,20,4.0,0,16
20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,Ex,Y,SBrkr,1324,0,1324,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,12,WD,Abnorml,160000,2412,2.0,138,643,0.5909926470588235,0.45107794361525705,0.3323262839879154,41,41,0,1,1,1,0,1,0,7944,30,6.0,2648,36
20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,0,0,0,7,WD,Normal,170000,2678,2.0,104,967,0.7162962962962963,0.5041075429424944,0.2319277108433735,48,48,0,1,1,1,0,1,0,6640,30,4.0,1328,25
85,RL,69.0,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,0,840,Gd,Y,SBrkr,884,0,884,1,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,12,WD,Normal,144000,1724,2.0,0,840,1.0,0.4872389791183295,0.5701357466063348,24,24,0,1,1,0,0,0,0,4420,35,4.0,1768,25
20,RL,69.0,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,167,938,TA,Y,SBrkr,938,0,938,1,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,7,WD,Normal,130250,1876,2.0,0,771,0.8219616204690832,0.5,0.3283582089552239,28,31,0,1,1,0,0,0,1,4690,30,6.0,938,25
20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,465,1150,Ex,Y,FuseA,1150,0,1150,1,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,5,WD,Normal,141000,2300,2.0,0,685,0.5956521739130435,0.5,0.2608695652173913,47,47,0,1,1,0,0,0,0,5750,30,6.0,1150,25
120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,2,WD,Normal,319900,3504,3.0,82,456,0.2602739726027397,0.5,0.3287671232876712,5,5,0,1,1,1,0,1,0,15768,45,6.0,3504,81
